,Headline,Date,Description
357,UK purchases additional 114m coronavirus vaccine doses,2021-12-01 22:30:59,"<span>...included 60m doses of the Moderna vaccine and 54m shots of BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jab. The Department of Health said it had accelerated the purchasing process...</span>"
356,Letter: Waive drug firm IP rules before the next pandemic,2021-12-02 00:00:22,"<span>...Your Big Read “The inside story of the <mark class=""search-item__highlight"">Pfizer</mark> vaccine” (December 1) makes crystal clear the problems of handing a vital part of the pandemic...</span>"
355,Bad blood as Holmes takes stand in Theranos trial,2021-12-02 05:00:23,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
354,UK’s ‘mix and match’ booster jab strategy backed by new study,2021-12-02 23:30:20,"<span>...vaccine increased the levels of antibodies the most, followed by the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> shot, and even a half-dose of the <mark class=""search-item__highlight"">Pfizer</mark> shot performed well...</span>"
353,Letter: A shareholder activist pleads for vaccine equity,2021-12-03 00:00:20,"<span>...As highlighted by the FT’s Big Read “The inside story of the <mark class=""search-item__highlight"">Pfizer</mark> vaccine” (December 1), <mark class=""search-item__highlight"">Pfizer</mark>’s decisions have influenced the course of...</span>"
351,Sustainable investors target Pfizer’s pandemic profits,2021-12-03 12:00:53,"<span>Sustainable investors target <mark class=""search-item__highlight"">Pfizer</mark>’s pandemic profits</span>"
352,America’s long goodbye to Roe vs Wade,2021-12-03 12:00:53,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
350,"The race to decipher Omicron: will it take days, weeks or months? ",2021-12-03 19:16:09,"<span>...the side of the spike.

Another drug type — antiviral pills made by <mark class=""search-item__highlight"">Pfizer</mark> and Merck of the US — is expected to work just as well...</span>"
349,Merck takes aim at Pfizer’s Covid pill as concerns linger over its own drug,2021-12-05 12:00:45,"<span>Merck takes aim at <mark class=""search-item__highlight"">Pfizer</mark>’s Covid pill as concerns linger over its own drug</span>"
348,Brazil emerges from Covid ‘nightmare’ through vaccination blitz,2021-12-06 11:00:03,"<span>...to have a jab himself and last year joked that the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> shot might turn recipients into alligators. A video in which the former...</span>"
347,SoftBank shares fall in Asia sell-off,2021-12-06 11:34:19,"<span>...its Covid-19 antiviral pill and claimed a rival treatment developed by <mark class=""search-item__highlight"">Pfizer</mark> would create problems for some patients taking drugs for other medical conditions...</span>"
346,Doubts over efficacy of Chinese vaccines stoke anxiety at home and abroad,2021-12-07 00:31:52,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
345,"Boost, check, test: EU seeks a co-ordinated Covid-19 response",2021-12-07 06:34:36,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
344,Tui warns of Omicron-induced slowdown,2021-12-08 08:24:21,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
343,FirstFT: US demands halt to Nord Stream 2 if Russia invades Ukraine,2021-12-08 11:25:27,"<span>...than expected during the third quarter, official data revealed today.

The BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine may be less effective against Omicron than earlier strains, according to...</span>"
342,Pfizer says third vaccine shot neutralises Omicron,2021-12-08 12:29:37,"<span><mark class=""search-item__highlight"">Pfizer</mark> says third vaccine shot neutralises Omicron</span>"
341,Lex Letter from Seoul: Omicron variant gives Asian pharma a chance to catch up,2021-12-08 12:35:19,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
340,Pfizer says three vaccine doses offer protection against Omicron,2021-12-08 13:14:22,"<span><mark class=""search-item__highlight"">Pfizer</mark> says three vaccine doses offer protection against Omicron</span>"
338,Wall Street stocks muted after sharpest global rally of 2021,2021-12-08 19:53:42,"<span>...may be less likely to result in serious illness than other strains.

<mark class=""search-item__highlight"">Pfizer</mark>, one of the developers of the most widely used Covid-19 vaccines...</span>"
337,Wall Street stocks close in on record highs,2021-12-08 21:34:00,"<span>...may be less likely to result in serious illness than other strains.

<mark class=""search-item__highlight"">Pfizer</mark>, one of the developers of the most widely used Covid-19 vaccines...</span>"
498,‘Erratic’ European vaccine donations hamper African jabs rollout,2021-12-09 11:10:04,"<span>...gold standard for themselves,” she said. Mihigo singled out European delivery of <mark class=""search-item__highlight"">Pfizer</mark> doses as being notably slow in comparison with US deliveries of the...</span>"
497,FirstFT: Elizabeth Holmes wraps up Theranos trial testimony,2021-12-09 11:17:47,"<span>...effects of the platform on younger users.Coronavirus digest

A third BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> Covid-19 shot offers protection against the Omicron variant, but just two...</span>"
496,US broadens Pfizer booster eligibility to 16- and 17-year-olds,2021-12-09 16:33:29,"<span>US broadens <mark class=""search-item__highlight"">Pfizer</mark> booster eligibility to 16- and 17-year-olds</span>"
495,In-house legal teams develop new attitude to risk,2021-12-10 04:30:36,"<span class=""o-teaser__tag-prefix"">Special Report</span>"
494,Creative practitioners crack tough legal challenges,2021-12-10 04:30:36,"<span class=""o-teaser__tag-prefix"">Special Report</span>"
493,FirstFT: Starbucks workers back creation of a union ,2021-12-10 11:38:32,"<span>...Times has revealed.

US regulators have authorised third shots of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine for 16- and 17-year-olds. Separately, new applications for unemployment...</span>"
492,Moderna reports strong data for flu vaccine,2021-12-10 12:41:24,"<span>...phase 2 study, which will compare the candidate to an existing shot.

<mark class=""search-item__highlight"">Pfizer</mark> and BioNTech are also working on a flu vaccine candidate. They all...</span>"
491,Covid boosters could be up to 75% effective against Omicron - UK study,2021-12-10 17:04:51,"<span>...Omicron variant found that two shots of either the Oxford/AstraZeneca or <mark class=""search-item__highlight"">Pfizer</mark>/BioNTech vaccines provided “much lower levels” of protection against symptomatic infection than...</span>"
490,The Omicron paradox is starting to reveal itself,2021-12-10 18:13:54,"<span>...Health Research Institute reported last week that, while antibodies produced by the <mark class=""search-item__highlight"">Pfizer</mark> vaccine were not as effective against Omicron as against the original virus...</span>"
489,UK growth slows as ministers await impact of Omicron,2021-12-10 18:15:39,"<span>...with FT journalists on what we know about Omicron so far.

Vaccines: <mark class=""search-item__highlight"">Pfizer</mark> said three doses of its vaccine offered protection against Omicron, resulting in...</span>"
488,FT North American Innovative Lawyers Awards 2021 — winners announced,2021-12-10 18:16:39,"<span class=""o-teaser__tag-prefix"">Special Report</span>"
487,"Covid booster shots up to 75% effective against Omicron, UK study finds",2021-12-10 18:29:12,"<span>...Omicron found that two shots of either the Oxford/AstraZeneca or BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccines provided “much lower levels” of protection against symptomatic infection than with...</span>"
486,Elizabeth Holmes trial: the key evidence jurors will consider,2021-12-11 05:00:40,"<span>...and investors.

The change involved adding the logos of the pharmaceutical companies <mark class=""search-item__highlight"">Pfizer</mark> and Schering-Plough to two different reports — without the companies’ knowledge. Representatives...</span>"
485,South Africa’s leader Cyril Ramaphosa tests positive for Covid,2021-12-12 22:12:09,"<span>...regulator has approved the country’s first mass boosters, using only the <mark class=""search-item__highlight"">Pfizer</mark> jab, the other vaccine in wide use locally. Rollout of third <mark class=""search-item__highlight"">Pfizer</mark>...</span>"
484,Uncontrolled Spread — Trump’s FDA head on the mishandling of the Covid-19 response,2021-12-13 05:00:46,"<span class=""o-teaser__tag-prefix"">Review</span>"
483,Pfizer to buy Arena Pharmaceuticals in $6.7bn deal,2021-12-13 12:51:48,"<span><mark class=""search-item__highlight"">Pfizer</mark> to buy Arena Pharmaceuticals in $6.7bn deal</span>"
482,Business School Briefing: Workplace pressure; your feedback sought,2021-12-13 14:36:09,"<span>...mandates as PM apologises after aides were caught joking about lockdown parties.

<mark class=""search-item__highlight"">Pfizer</mark> says three vaccine doses offer protection against Omicron Preliminary research suggests two...</span>"
481,Why do Covid boosters offer greater protection against Omicron?,2021-12-14 05:00:22,"<span class=""o-teaser__tag-prefix"">Explainer</span>"
480,Andrea Orcel shows persistence pays . . . handsomely ,2021-12-14 05:00:22,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
479,"Two BioNTech/Pfizer doses give 70% protection against hospitalisation from Omicron, study shows",2021-12-14 11:57:37,"<span>Two BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> doses give 70% protection against hospitalisation from Omicron, study shows</span>"
478,"Two Pfizer doses give 70% protection against hospitalisation from Omicron, study shows",2021-12-14 13:26:55,"<span>Two <mark class=""search-item__highlight"">Pfizer</mark> doses give 70% protection against hospitalisation from Omicron, study shows</span>"
477,Pfizer says Covid drug offers strong protection and should work against Omicron,2021-12-14 13:53:43,"<span><mark class=""search-item__highlight"">Pfizer</mark> says Covid drug offers strong protection and should work against Omicron</span>"
476,Episode 51,2021-12-14 14:32:05,"<span class=""o-teaser__tag-suffix"">3 min listen</span>"
475,"How did the UK reach 200,000 Omicron infections in one day?",2021-12-14 19:50:14,"<span>...minute observation period after the administration of the mRNA Covid vaccines from <mark class=""search-item__highlight"">Pfizer</mark>/BioNTech and Moderna was suspended temporarily to “help the NHS get more...</span>"
474,FirstFT: China reports first Omicron Covid cases,2021-12-14 21:38:17,"<span>...the country’s 1.4bn people.Meanwhile, two doses of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine provide 70 per cent protection against being admitted to hospital with...</span>"
